#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,d'obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,73200.0,-7000.0,66200.0,0.0
0110,310015,INTERESSOS PRÉSTECS 2009 SANEJAMENT,4500.0,0.0,4500.0,0.0
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,5250.0,600.0,5850.0,0.0
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,13800.0,-2000.0,11800.0,0.0
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,65000.0,4000.0,69000.0,0.0
0110,310030,PRESTEC INVERSIONS 2011 BBVA,10750.0,-600.0,10150.0,0.0
0110,310035,INTERESSOS PRESTEC ICO 2011,6100.0,0.0,6100.0,0.0
0110,310040,INVERSIONS 2011 C. PENEDES,12500.0,-1000.0,11500.0,0.0
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS,27000.0,-2000.0,25000.0,0.0
0110,310060,PAGAMENT PROVEÏDORS 04/2013,35000.0,0.0,35000.0,0.0
0110,310070,PAGAMENT PROVEÏDORS 8/2013,30000.0,-6000.0,24000.0,0.0
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,9000.0,11000.0,20000.0,0.0
0110,319000,ALTRES DESPESES FINANCERES,125000.0,12000.0,137000.0,3540.48
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200.0,0.0,2200.0,0.0
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000.0,0.0,10000.0,0.0
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000.0,0.0,15000.0,0.0
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000.0,0.0,15000.0,0.0
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500.0,0.0,17500.0,0.0
0110,913014,AMORTITZACION PRESTEC ROMANENT TRESORERIA,66500.0,0.0,66500.0,0.0
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000.0,0.0,45000.0,0.0
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,416000.0,0.0,416000.0,0.0
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,48000.0,1000.0,49000.0,0.0
0110,913018,INVERSIONS 2011 (bbva),40000.0,0.0,40000.0,0.0
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,33500.0,0.0,33500.0,0.0
0110,913021,PRESTEC ICO 2011,93500.0,0.0,93500.0,0.0
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,28100.0,0.0,28100.0,0.0
0110,913023,PRÉSTEC 2N PAGAMENT PROVEÏDORS 04/2013,0.0,0.0,0.0,0.0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,283800.0,-35500.0,248300.0,0.0
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,822500.0,-89400.0,733100.0,0.0
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLIC IA LOCAL,7900.0,-7500.0,400.0,0.0
1300,214000,MANTENIMENT I REPARACIÓ VEHICLES POLICIA LOCAL,1500.0,0.0,1500.0,0.0
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,1000.0,0.0,1000.0,0.0
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL-PROTEC. CIVIL,7000.0,0.0,7000.0,0.0
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,16000.0,0.0,16000.0,3737.57
1300,221120,MATERIAL TÈCNIC POLICIA LOCAL I PROTECCIÓ CIVIL,4000.0,-1500.0,2500.0,0.0
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,5000.0,-3000.0,2000.0,0.0
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,9000.0,0.0,9000.0,0.0
1300,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,12000.0,0.0,12000.0,0.0
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,48000.0,8000.0,56000.0,0.0
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,85000.0,0.0,85000.0,0.0
1510,131000,RETRIBUCIONS LABORAL EVENTUAL URBANISME,73000.0,6000.0,79000.0,0.0
1510,761000,TRANSFERÈNCIES CAPITAL,700.0,0.0,700.0,0.0
1610,221010,SUBMINISTRAMENT AIGÜES TER-LLOBREGAT,275000.0,0.0,275000.0,219063.88
1610,227990,SERVEI ANÀLISI DE CONTROL I LECTURES DE L'AIGUA,3500.0,9000.0,12500.0,0.0
1610,227991,MANTENIMENT SERVEI DE CLAVEGUERAM,42000.0,0.0,42000.0,20927.7
1620,467000,SERVEI DEIXALLERIA,41000.0,0.0,41000.0,30427.17
1620,467001,SERVEI RECOLLIDA SELECTIVA,25000.0,0.0,25000.0,18282.88
1620,467002,SERVEI DE RECOLLIDA I TRACTAMENT MATÈRIA ORGÀNICA,28000.0,5000.0,33000.0,27812.9
1620,467003,TRANSFERÈNCIA I ELIMINACIÓ RESIDUS MPALS. ORDINARIS,171000.0,0.0,171000.0,143300.66
1620,467005,SERVEI DE RECOLLIDA DE PAPER I CARTRÓ COMERCIAL,24000.0,0.0,24000.0,19642.26
1620,467006,SERVEI DE RECOLLIDA FRACCIÓ RESTA,207000.0,0.0,207000.0,168683.32
1620,467007,SERVEI DE VOLUMINOSOS I ELIMINACIÓ RESIDUS BANALS,19000.0,0.0,19000.0,14166.7
1620,467008,QUOTA MUNICIPIS ADHERITS,26000.0,0.0,26000.0,19980.59
1650,221000,SUBMINISTRAMENT ELÈCTRIC ENLLUMENAT PÚBLIC,180000.0,0.0,180000.0,0.0
1720,226990,DESPESES FUNCIONAMENT MEDI AMBIENT,5500.0,600.0,6100.0,0.0
1720,226991,CAMPANYES I ALTRES ACTUACIONS SERVEI MEDI AMBIENT,5000.0,0.0,5000.0,0.0
1720,467000,APORTACIÓ CONCORCI CONCA RIU BESOS,150.0,0.0,150.0,0.0
2310,130000,RETRIBUCIONS PERSONAL FIXE ACCIO SOCIAL,60000.0,0.0,60000.0,0.0
2310,131000,RETRIBUCIONS PERSONAL EVENTUAL ACCIO SOCIAL,235000.0,28000.0,263000.0,0.0
2310,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS SERVEIS SOCIALS,6500.0,0.0,6500.0,0.0
2310,221020,SUBM.COMBUSTIBLE EDIFICIS DESTINATS S. SOCIALS,4000.0,0.0,4000.0,0.0
2310,226990,DESPESES SERVEI TELEASSISTÈNCIA,17000.0,0.0,17000.0,0.0
2310,226991,DESPESES FUNCIONAMENT ACCIÓ SOCIAL,3000.0,19000.0,22000.0,2936.01
2310,226992,DESPESES HOMENATGE GENT GRAN,7000.0,3200.0,10200.0,0.0
2310,226993,DESPESES FUNCIONAMENT SOLIDARITAT I COOPERAC.,3000.0,0.0,3000.0,0.0
2310,226994,DESPESES FUNCIONAMENT POLÍTIQUES D'IGUALTAT,1000.0,0.0,1000.0,0.0
2310,226995,DESPESES DE FUNCIONAMENT CASAL GENT GRAN,4000.0,2000.0,6000.0,0.0
2310,227990,SERVEI PUNT DONA,7000.0,1100.0,8100.0,0.0
2310,227991,PRESTACIÓ DE SERVEIS CENTRE DE DISCAPACITATS,225000.0,18500.0,243500.0,3000.0
2310,227992,SERVEI DE MENJADOR A LES ESCOLES,30000.0,9000.0,39000.0,0.0
2310,227993,AJUTS MENJADOR ESCOLA BRESSOL,6000.0,900.0,6900.0,0.0
2310,227995,AJUTS D'ESTADA ESCOLA BRESSOL,18000.0,0.0,18000.0,0.0
2310,227996,PRESTACIÓ DE SERVEIS PROJECTE SOCIOEDUCATIU EL GALLINER,9600.0,0.0,9600.0,0.0
2310,449000,APORTACIÓ RESIDÈNCIA CAN DOTRAS,80000.0,6900.0,86900.0,0.0
2310,480000,ASSISTÈNCIA SOCIAL,70000.0,-25000.0,45000.0,7085.0
2310,480001,APORTACIÓ FONS DE SOLIDARITAT I COOPERACIÓ,3000.0,0.0,3000.0,0.0
2310,480002,BEQUES LLIBRES ESCOLARS,15000.0,0.0,15000.0,4037.61
2310,480003,CONVENI INTERADMINISTRATIU SERVEIS SOCIALS,6000.0,0.0,6000.0,3333.45
2310,480004,ASSOCIACIÓ DE PARES FILLS DISCAPACITATS,2200.0,0.0,2200.0,0.0
2310,480005,APORTACIÓ CARITAS,6500.0,0.0,6500.0,6500.0
2310,480006,ALTRES SUBVENCIONS ACCIÓ SOCIAL,1000.0,0.0,1000.0,0.0
2310,480008,PROJECTE SUPORT A LA INFÀNCIA,1000.0,0.0,1000.0,0.0
2310,480009,"ALTRES SUBVENCIONS (Gent Gran, etc)",1000.0,0.0,1000.0,1000.0
2310,480010,PROJECTES REHABILITACIÓ HABITATGES GENT GRAN,6000.0,0.0,6000.0,0.0
2310,480011,SUBVENCIÓ IMPOST BÉNS IMMOLBES,24000.0,-15000.0,9000.0,0.0
2310,480012,AJUTS AL LLOGUER,30000.0,-17500.0,12500.0,0.0
2310,480013,APORTACIÓ ONCOVALLÈS,1000.0,0.0,1000.0,1000.0
2310,480014,AJUTS A ESTUDIS UNIVERSITARIS,10000.0,-6500.0,3500.0,0.0
2410,143000,RETRIBUCIONS PERSONAL PLA OCUPACIONAL I,100.0,0.0,100.0,0.0
2410,143100,PLA D'EMERGENCIA D'OCUPACIÓ,95000.0,74000.0,169000.0,0.0
2410,226990,DESPESES FUNCIONAMENT PROMOCIÓ ECONÒMICA,3500.0,-1500.0,2000.0,0.0
2410,226991,DESPESES DE FOMENT DE L'OCUPACIÓ,2000.0,7500.0,9500.0,3959.49
2410,226992,DESPESES DE FORMACIÓ OCUPACIONAL,50000.0,-6000.0,44000.0,3952.0
2410,227990,PROJECTES DE FORMACIÓ OCUPACIONAL,100.0,0.0,100.0,0.0
2410,227991,PLA ESTRATEGIC,19000.0,-6000.0,13000.0,7236.99
2410,470000,MESURES ESPECIALS PROMOCIÓ OCUPACIÓ (EMPRESES),30000.0,-20000.0,10000.0,9400.0
3130,226990,DESPESES FUNCIONAMENT SERVEI SALUT PUBL. COMUNITÀRIA,2000.0,0.0,2000.0,684.0
3130,226991,DESPESES DE FUNCIONAMENT SERVEI DE CONSUM,3000.0,-2000.0,1000.0,0.0
3130,227990,SERVEIS DE RECOLLIDA D'ANIMALS DOMÈSTICS,4000.0,0.0,4000.0,0.0
3130,227991,SERVEI DE CONTROL DE COLÒNIES DE GATS,3000.0,0.0,3000.0,0.0
3130,227992,"SERVEIS DE DESRATITZACIÓ, DESINFECCIÓ, ETC",16000.0,0.0,16000.0,0.0
3130,227993,PRESTACIÓ SERVEIS INSPECCIÓ LEGIONEL·LOSI,7500.0,0.0,7500.0,0.0
3200,130000,RETRIBUCIONS PERSONAL FIX ESCOLA D'ADULTS,125100.0,-4400.0,120700.0,0.0
3200,130001,RETRIBUCIIONS PERSONAL FIX ESCOLA DE MÚSICA,67000.0,-1200.0,65800.0,0.0
3200,131000,RETRIBUCIONS PERSONAL EVENTUAL ESCOLA DE MÚSICA,90000.0,19000.0,109000.0,0.0
3200,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS ESCOLARS,45000.0,0.0,45000.0,0.0
3200,221020,SUBM.COMBUSTIBLE EDIFICIS ESCOLARS,67000.0,0.0,67000.0,0.0
3200,226990,DESPESES DE FUNCIONAMENT EDUCACIÓ,15000.0,0.0,15000.0,0.0
3200,226991,DESPESES DE FUNCIONAMENT ESCOLA DE MUSICA,6000.0,0.0,6000.0,0.0
3200,227990,PRESTACIÓ SERVEIS EDUCATIUS ESCOLA BRESSOL,200000.0,0.0,200000.0,0.0
3200,467000,APORTACIÓ CONSORCI ASSOCIAT DE LA UNED,18000.0,0.0,18000.0,18000.0
3200,468000,SUBVENCIÓ ESCOLA PAU CASALS,8000.0,0.0,8000.0,7000.0
3200,468001,SUBVENCIÓ ESCOLA SANT JORDI,8000.0,0.0,8000.0,7000.0
3200,468002,SUBVENCIÓ INSTITUT MONTMELÓ,8500.0,0.0,8500.0,7500.0
3200,468003,SUBVENCIONS AMPA COL.LEGIS PUBLICS,14500.0,0.0,14500.0,5166.66
3200,468004,AMPA INSTITUT MONTMELÓ (beca d'estudis),2000.0,0.0,2000.0,2287.12
3200,468005,"FUNDACIÓ PRIVADA CULTURAL DE GRANOLLERS, AC",4200.0,0.0,4200.0,3602.15
3300,130000,RETRIBUCIONS PERSONAL FIXE CULTURA I JOVENTUT,60000.0,8500.0,68500.0,0.0
3300,131000,RETRIBUCIONS PERSONAL EVENTUAL CULTURA I JOVENTUT,160000.0,14000.0,174000.0,0.0
3300,221000,SUBMINISTRAMENT ELÈCTRIC DESTINATS S. CULTURALS,40000.0,0.0,40000.0,10859.21
3300,221020,SUBMINISTRAMENT GAS NATURAL EDIFICIS CULTURA,13000.0,0.0,13000.0,0.0
3300,226990,DESPESES FUNCIONAMENT CULTURA,6000.0,1000.0,7000.0,0.0
3300,226991,DESPESES FUNCIONAMENT PATRIMONI CULTURAL,15000.0,1500.0,16500.0,0.0
3300,226992,DESPESES DE MONITORS TALLERS,38000.0,0.0,38000.0,0.0
3300,226993,FESTA MAJOR,68500.0,0.0,68500.0,0.0
3300,226994,CARNESTOLTES,12000.0,700.0,12700.0,0.0
3300,226995,ALTRES FESTES TRADICIONALS,20000.0,5800.0,25800.0,0.0
3300,226996,CONSUM CULTURAL,24000.0,18900.0,42900.0,4114.0
3300,226997,DESPESES DE FUNCIONAMENT MONS OBSERVANS CAN TACO,3600.0,1000.0,4600.0,0.0
3300,227000,PRESTACIÓ DE SERVEIS MONS OBSERVANS CAN TACÓ,30500.0,0.0,30500.0,0.0
3300,467000,APORTACIÓ CONSORCI NORMALITZACIÓ LINGÜÍSTICA,8000.0,0.0,8000.0,7707.18
3300,468000,"L'AGRUPA, ASSOCIACIÓ CULTURAL",1950.0,0.0,1950.0,1500.0
3300,468001,LUDUS HISTORIAE,1200.0,0.0,1200.0,1200.0
3300,468002,XARXA,3450.0,0.0,3450.0,3445.0
3300,468003,PENYA BLAUGRANA DE MONTMELÓ,1950.0,0.0,1950.0,0.0
3300,468004,COLLA DE GEGANTERS DE MONTMELÓ,2350.0,0.0,2350.0,1550.0
3300,468005,ESBART DANSAIRE DE MONTMELÓ,1375.0,0.0,1375.0,0.0
3300,468006,COLLA DE DIABLES DE MONTMELÓ,2650.0,0.0,2650.0,1325.0
3300,468007,ENTITATS ACTIVITATS DE NADAL,1000.0,0.0,1000.0,0.0
3300,468008,SUBVENCIÓ ASSOCIACIÓ COMPANYIA DE TEATRE NYAP,500.0,0.0,500.0,0.0
3300,468009,CENTRE D'ESTUDIS MONTMELÓ,5000.0,0.0,5000.0,4000.0
3370,226990,DESPESES DE FUNCIONAMENT SERVEI JOVENTUT,10000.0,0.0,10000.0,0.0
3370,226991,INICIATIVES ACTIVITATS JOVENILS,5000.0,0.0,5000.0,157.3
3370,226992,CASAL D'ESTIU I JOVE,7000.0,-6400.0,600.0,0.0
3370,226993,PARC DE NADAL,6500.0,0.0,6500.0,2783.0
3370,468000,CIJ ESPLAIA'T,8000.0,0.0,8000.0,4800.0
