#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,17000,-6000,11000,8499.19,8499.19
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,1100,0,1100,1111.41,1111.41
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,2650,500,3150,4573.75,4573.75
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,12600,-6000,6600,5682,5682
0110,310030,PRESTEC INVERSIONS 2011 BBVA,4000,0,4000,3928.36,3928.36
0110,310040,INVERSIONS 2011 C. PENEDES,4350,0,4350,4281.04,4281.04
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS 04/2012,3800,0,3800,3814.47,3814.47
0110,310060,PAGAMENT PROVEÏDORS 04/2013,8500,0,8500,6502.9,6502.9
0110,310070,PAGAMENT PROVEÏDORS 8/2013,6100,0,6100,6052.21,6052.21
0110,310080,INTERESSOS PRÉSTEC INVERSIONS 2014,6750,1600,8350,6716.7,6716.7
0110,310090,INTRESSOS PRESTEC SUBSTITUCIO COBERTURA INTERESSOS,4000,0,4000,3867.65,3867.65
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,2000,-1800,200,0,0
0110,319000,ALTRES DESPESES FINANCERES,8000,6000,14000,14479.62,7967.56
0110,319100,INTERESSOS,0,0,0,0,0
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200,0,2200,2200,2200
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000,0,10000,10000,10000
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000,0,15000,15000,15000
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000,0,15000,15000,15000
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500,0,17500,17500,17500
0110,911007,AJUT DE CAIXA DIPUTACIO DE BARCELONA 2014,17500,0,17500,17500,17500
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000,0,45000,45000,45000
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,240000,-75000,165000,164285.72,164285.72
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,55000,14000,69000,80078.79,80078.79
0110,913018,INVERSIONS 2011 (bbva),40000,0,40000,40000,40000
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,39500,0,39500,39418.58,39418.58
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,56100,0,56100,56013.6,56013.6
0110,913023,PRÉSTEC PAGAMENT PROVEÏDORS 04/2013,100300,0,100300,75218.73,75218.73
0110,913024,PRÉSTEC PAGAMENT PROVEÏDORS 08/2013,82150,0,82150,82105.8,82105.8
0110,913025,PRÉSTEC INVERSIONS 2014,37500,0,37500,37500,37500
0110,913026,PRÉSTEC OPERACIÓ COBERTURA INTERESSOS,24000,0,24000,23825.84,23825.84
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,214177,39300,253477,272595.63,272595.63
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,514577,9900,524477,502278.61,502278.61
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLICIA LOCAL,23986,-10000,13986,5364.57,5364.57
1300,212000,CONSERVACIÓ EDIFICIS POLICIA LOCAL,4500,1500,6000,5976.73,3556.73
1300,214000,MANTENIMENTS I REPARACIONS VEHICLES POLICIA LOCAL,600,0,600,1060.48,1060.48
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,500,0,500,0,0
1300,221000,ENERGIA ELECTRICA EDIFICIS POLICIA LOCAL,10200,0,10200,8991.07,8423.7
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL,4000,0,4000,3534.77,3534.77
1300,221040,VESTUARI POLICIA LOCAL,13000,0,13000,13532.49,12675.81
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,3000,0,3000,2132.18,1938.58
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,12000,3650,15650,17515.96,17515.96
1300,227991,SEGURETAT VIAL,2000,-2000,0,0,0
1340,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,12000,0,12000,12000,9000
1510,120000,BASIQUES FUNCIONARS  URBANISME,65694,18100,83794,86435.04,86435.04
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME,124019,-6000,118019,107701.44,107701.44
1510,130000,RETRIBUCIONS PERSONAL FIXE URBANISME,59908,1650,61558,61480.56,61480.56
1510,131000,RETRIBUCIONS PERSOANL TEMPORAL URBANISME,571198,44400,615598,627763.27,627763.27
1510,761000,TRANSFERÈNCIES CAPITAL,100,0,100,0,0
1550,210000,MANTENIMENT ESPAI PÚBLIC,120000,6980,126980,110559.08,90615.6
1550,210001,SENYALITZACIO HORIZONTAL VIES PUBLIQUES,8000,0,8000,6605.12,6458.13
1550,210002,SENYALITZACIÓ VERTICAL VIES PÚBLIQUES,6000,0,6000,6731.5,6731.5
1610,210000,MANTENIMENT XARXA SUBMINISTRAMENT AIGUA,18000,6000,24000,19510.04,18713.78
1610,221010,SUBMINISTRAMENT AIGÜES TER-LLOBREGAT,380000,0,380000,366081.49,338322.38
1610,227990,SERVEI ANÀLISI DE CONTROL I LECTURES DE L'AIGUA,7000,0,7000,5365.47,5365.47
1610,227991,MANTENIMENT XARXA DE CLAVEGUERAM,51800,-10000,41800,44510.31,37662.57
1620,467000,SERVEI DEIXALLERIA,42000,1750,43750,43786.44,0
1620,467001,SERVEI RECOLLIDA SELECTIVA,36000,1000,37000,36998.98,0
1620,467002,SERVEI DE TRACTAMENT FRACCIÓ ORGÀNICA,36000,0,36000,33112.36,0
1620,467003,TRANSFERÈNCIA I ELIMINACIÓ RESIDUS MPALS. ORDINARIS,165000,9000,174000,161507.58,0
1620,467005,SERVEI DE RECOLLIDA DE PAPER I CARTRÓ COMERCIAL,15000,0,15000,14007,0
