#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,50000.0,25000.0,75000.0,83116.72
0110,310011,INTERESSOS AVAL DIPÒSIT D'AIGUA (CAIXA CATALUNYA),1300.0,0.0,1300.0,1195.84
0110,310015,INTERESSOS PRÉSTECS 2009 SANEJAMENT,9800.0,1800.0,11600.0,11596.42
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,12000.0,-2000.0,10000.0,9420.24
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,16000.0,0.0,16000.0,16742.84
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,110000.0,-2000.0,108000.0,102177.55
0110,310030,PRESTEC INVERSIONS 2011 BBVA,18000.0,14000.0,32000.0,31814.82
0110,310040,INVERSIONS 2011 C. PENEDES,16000.0,0.0,16000.0,15194.5
0110,310050,INTERESSOS PRESTEC INVERSIONS 2012,100.0,0.0,100.0,0.0
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,5000.0,9500.0,14500.0,14250.0
0110,319000,ALTRES DESPESES FINANCERES,125000.0,0.0,125000.0,117822.17
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200.0,0.0,2200.0,2200.0
0110,911002,AJUT CAIXA DIPUTACIÓ DUMPER BRIGADA,5000.0,0.0,5000.0,5000.0
0110,911003,AJUT CAIXA DIPUTACIÓ. PARQUET PAVELLÓ,10000.0,0.0,10000.0,10000.0
0110,911004,AJUT DE CAIXA DIPUTACIÓ (INVERSIONS AUDITORI),15000.0,0.0,15000.0,15000.0
0110,911005,AMORTITZACIO PRESTEC RD 4/2012 PAGAMENT PROVEIDORS,0.0,0.0,0.0,0.0
0110,911006,AMORTITZACIÓ AJUT DE CAIXA 2011,0.0,15000.0,15000.0,15000.0
0110,913014,AMORTITZACION PRESTEC ROMANENT TRESORERIA,61250.0,0.0,61250.0,60551.06
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000.0,0.0,45000.0,45000.0
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,208000.0,0.0,208000.0,207937.5
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,44000.0,0.0,44000.0,43989.89
0110,913018,INVERSIONS 2011 (bbva),30000.0,0.0,30000.0,30000.0
0110,913019,INVERSIONS 2012,100.0,82050.0,82150.0,82012.3
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,0.0,0.0,0.0,0.0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,185950.0,-8980.0,176970.0,172004.14
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,556000.0,-49975.0,506025.0,468257.1
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLIC IA LOCAL,7500.0,375.0,7875.0,7283.12
1300,214000,MANTENIMENT I REPARACIÓ VEHICLES POLICIA LOCAL,3000.0,0.0,3000.0,2639.34
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,600.0,200.0,800.0,849.83
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL-PROTEC. CIVIL,9000.0,-2000.0,7000.0,6504.46
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,12000.0,0.0,12000.0,11656.74
1300,221120,MATERIAL TÈCNIC POLICIA LOCAL I PROTECCIÓ CIVIL,3000.0,-1000.0,2000.0,1438.98
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,1000.0,0.0,1000.0,922.47
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,9000.0,3000.0,12000.0,10821.4
1300,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,11000.0,0.0,11000.0,11000.0
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,61000.0,-225.0,60775.0,62469.2
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,81000.0,-1300.0,79700.0,69780.56
1510,131000,RETRIBUCIONS LABORAL EVENTUAL URBANISME,58000.0,16500.0,74500.0,69386.15
1510,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS URBANISME I ARQUITECTURA,16300.0,0.0,16300.0,13997.58
1510,761000,TRANSFERÈNCIES CAPITAL,100.0,0.0,100.0,0.0
1610,221010,SUBMINISTRAMENT AIGÜES TER-LLOBREGAT,170000.0,0.0,170000.0,172747.24
1610,227990,SERVEI ANÀLISI DE CONTROL I LECTURES DE L'AIGUA,6000.0,-1500.0,4500.0,2214.67
1610,227991,MANTENIMENT SERVEI DE CLAVEGUERAM,28000.0,15000.0,43000.0,43568.75
1620,467000,SERVEI DEIXALLERIA,46000.0,0.0,46000.0,44080.28
1620,467001,SERVEI RECOLLIDA SELECTIVA,21500.0,0.0,21500.0,23098.52
1620,467002,SERVEI DE RECOLLIDA I TRACTAMENT MATÈRIA ORGÀNICA,28000.0,0.0,28000.0,36544.72
1620,467003,TRANSFERÈNCIA I ELIMINACIÓ RESIDUS MPALS. ORDINARIS,191000.0,0.0,191000.0,178633.48
1620,467004,"ALTRES SERVEIS CONSORCI G. RES. (GOTS, PILES, LLAUNES, ETC..",4700.0,0.0,4700.0,0.0
1620,467005,SERVEI DE RECOLLIDA DE PAPER I CARTRÓ COMERCIAL,28500.0,0.0,28500.0,29343.91
1620,467006,SERVEI DE RECOLLIDA FRACCIÓ RESTA,225000.0,0.0,225000.0,224687.87
1620,467007,SERVEI DE VOLUMINOSOS I ELIMINACIÓ RESIDUS BANALS,23000.0,0.0,23000.0,17822.94
1620,467008,QUOTA MUNICIPIS ADHERITS,27000.0,0.0,27000.0,27333.26
1650,221000,SUBMINISTRAMENT ELÈCTRIC ENLLUMENAT PÚBLIC,240000.0,30000.0,270000.0,270906.64
1720,226990,DESPESES FUNCIONAMENT MEDI AMBIENT,4000.0,200.0,4200.0,4571.83
1720,226991,CAMPANYES I ALTRES ACTUACIONS SERVEI MEDI AMBIENT,1000.0,-900.0,100.0,0.0
1720,467000,APORTACIÓ CONCORCI CONCA RIU BESOS,150.0,0.0,150.0,106.96
2310,130000,RETRIBUCIONS PERSONAL FIXE ACCIO SOCIAL,25300.0,28175.0,53475.0,49395.41
2310,131000,RETRIBUCIONS PERSONAL EVENTUAL ACCIO SOCIAL,218000.0,8150.0,226150.0,210162.71
