#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IBI (RÚSTEGA),210000.0,0.0,210000.0,192611.69
11300,IBI (URBANA),2925000.0,0.0,2925000.0,2805770.33
11400,IMPOST SOBRE BÉNS IMMOBLES DE CARACTERÍSTIQUES ESPECIALS,2500.0,0.0,2500.0,2498.17
11500,IMPOST VEHICLES DE TRACCIO MECANICA,575000.0,0.0,575000.0,557027.1
11600,IMPOST INCREMENT VALORS TERRENYS URBANS,550000.0,0.0,550000.0,787531.65
13000,ACTIVITATS EMPRESSARIALS,1150000.0,0.0,1150000.0,1167402.69
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",60000.0,0.0,60000.0,34800.37
30000,TAXA PER SUBMINISTRAMENT D'AIGUA POTABLE,380000.0,0.0,380000.0,369516.2
30001,TAXA PER MANTENIMENTS DE COMPTADORS,62000.0,0.0,62000.0,64309.55
30002,ESCOMESESD'AIGUA,3500.0,0.0,3500.0,8504.94
30003,TAXA CLAVEGUERAM,102000.0,0.0,102000.0,84654.02
30004,CÀNON AIGUA,325000.0,0.0,325000.0,307704.5
30200,TAXA SERVEI RECOLLIDA ESCOMBRARIES,675000.0,0.0,675000.0,635066.88
30900,TAXA SERVEI CEMENTIRI MUNICIPAL,35000.0,0.0,35000.0,24472.52
30901,TAXA ESCUT I PLAQUES,100.0,0.0,100.0,0.0
30902,TAXA LLICENCIES OBERTURA ESTABLIMENTS,50000.0,0.0,50000.0,31535.54
30912,TAXA PER ALTRES SERVEIS,1000.0,0.0,1000.0,580.0
31100,TAXA PER ACTIVITATS SERVEIS SOCIALS,1000.0,0.0,1000.0,1332.0
31200,TAXA PER SERVEI ESCOLA DE MUSICA,75000.0,0.0,75000.0,68665.37
31201,TAXA PER ESCOLA D'ADULTS,9000.0,0.0,9000.0,7918.29
31300,TAXA PER CURSETS NATACIÓ,3700.0,0.0,3700.0,4734.72
31301,TAXA SERVEI PISCINA,75000.0,6400.0,81400.0,85519.27
31302,TAXA PER ESCOLA ESPORTIVA,15000.0,0.0,15000.0,13394.82
31303,TAXA PER INSTAL.LACIONS ESPORTIVES,1000.0,0.0,1000.0,68.99
31304,TAXA PER ACTIVITATS PAVELLÓ,18000.0,0.0,18000.0,24280.19
31900,TAXA PER SERVEIS CULTURA,55000.0,0.0,55000.0,44827.77
31901,TAXA SERVEI JOVENTUT,2000.0,32500.0,34500.0,41860.68
31902,TAXA UTILITZACIÓ EDIFICIS MUNICIPALS,1000.0,0.0,1000.0,4792.13
32100,TAXA EXPEDICIÓ  LLICENCIES URBANISTIQUES,50000.0,0.0,50000.0,16647.33
32500,TAXA EXPEDICIO DOCUM. ADMINISTRATIUS,6000.0,0.0,6000.0,9905.45
32600,TAXA RETIRADA DE VEHICLES,6000.0,0.0,6000.0,10849.21
32900,TAXA LLICENCIA TAXIS,1600.0,0.0,1600.0,2255.52
32901,TAXA SERVEIS SALUT PÚBLICA,1000.0,0.0,1000.0,400.0
33100,TAXA GUALS I RESERVA VIA PUBLICA,140000.0,0.0,140000.0,126388.29
33200,TAXA APROFITAMENTS  SUBMINISTRE ELÈCTRIC I GAS,195000.0,0.0,195000.0,185770.34
