#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,50000.0,-15000.0,35000.0,20729.07
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,4200.0,-1000.0,3200.0,2809.85
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,7500.0,0.0,7500.0,5723.08
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,52000.0,-5000.0,47000.0,40892.88
0110,310030,PRESTEC INVERSIONS 2011 BBVA,8000.0,-1500.0,6500.0,6239.91
0110,310040,INVERSIONS 2011 C. PENEDES,8500.0,2100.0,10600.0,8099.3
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS,25000.0,-18000.0,7000.0,3882.81
0110,310060,PAGAMENT PROVEÏDORS 04/2013,10000.0,-1900.0,8100.0,8035.03
0110,310070,PAGAMENT PROVEÏDORS 8/2013,10000.0,-3700.0,6300.0,6065.08
0110,310080,INTERESSOS PRÉSTEC INVERSIONS 2014,10000.0,-500.0,9500.0,9272.34
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,3000.0,-3000.0,0.0,0.0
0110,319000,ALTRES DESPESES FINANCERES,150000.0,0.0,150000.0,178939.45
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200.0,0.0,2200.0,2200.0
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000.0,0.0,10000.0,10000.0
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000.0,0.0,15000.0,15000.0
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000.0,0.0,15000.0,15000.0
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500.0,0.0,17500.0,17500.0
0110,911007,AJUT DE CAIXA DIPUTACIO DE BARCELONA 2014,17500.0,0.0,17500.0,17500.0
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000.0,0.0,45000.0,45000.0
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,416000.0,0.0,416000.0,401906.25
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,51000.0,1300.0,52300.0,52289.59
0110,913018,INVERSIONS 2011 (bbva),40000.0,0.0,40000.0,40000.0
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,35000.0,0.0,35000.0,39414.15
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,60000.0,-4000.0,56000.0,56013.6
0110,913023,PRÉSTEC PAGAMENT PROVEÏDORS 04/2013,25100.0,0.0,25100.0,25072.91
0110,913024,PRÉSTEC PAGAMENT PROVEÏDORS 08/2013,82100.0,0.0,82100.0,82105.8
0110,913025,PRÉSTEC INVERSIONS 2014,0.0,9400.0,9400.0,18750.0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,310713.62,0.0,310713.62,396267.43
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,707847.37,96000.0,803847.37,759838.33
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLIC IA LOCAL,50093.41,0.0,50093.41,3644.19
1300,214000,REPARACIONS VEHICLES POLICIA LOCAL,1000.0,0.0,1000.0,627.99
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,1000.0,0.0,1000.0,453.75
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL-PROTEC. CIVIL,6000.0,0.0,6000.0,4435.81
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,15000.0,5250.0,20250.0,20979.84
1300,221120,MATERIAL TÈCNIC POLICIA LOCAL I PROTECCIÓ CIVIL,4000.0,0.0,4000.0,3154.37
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,3000.0,0.0,3000.0,3004.84
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,7000.0,9000.0,16000.0,14955.6
1340,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,12000.0,0.0,12000.0,12000.0
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,32470.62,0.0,32470.62,63880.18
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,44580.9,73100.0,117680.9,86256.19
1510,130000,RETRIBUCIONS PERSONAL FIXE URBANISME,51048.52,8400.0,59448.52,59567.94
1510,131000,RETRIBUCIONS PERSOANL TEMPORAL URBANISME,709049.62,91500.0,800549.62,797625.95
1510,761000,TRANSFERÈNCIES CAPITAL,1000.0,0.0,1000.0,0.0
1550,210000,MANTENIMENT VIES PÚBLIQUES,40000.0,30500.0,70500.0,65781.08
1550,210001,SSENYALITZACIO HORIZONTAL VIES PUBLIQUES,5000.0,1800.0,6800.0,6439.1
1550,210002,SENYALITZACIÓ VERTICAL VIES PÚBLIQUES,5000.0,0.0,5000.0,5139.05
1610,210000,MANTENIMENT XARXA SUBMINISTRAMENT AIGUA,10000.0,6000.0,16000.0,14976.42
