#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,40000.0,-19500.0,20500.0,22186.93
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,3000.0,0.0,3000.0,1795.79
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,5000.0,0.0,5000.0,3952.65
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,35000.0,0.0,35000.0,27592.49
0110,310030,PRESTEC INVERSIONS 2011 BBVA,6000.0,0.0,6000.0,4941.72
0110,310040,INVERSIONS 2011 C. PENEDES,6500.0,0.0,6500.0,5762.02
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS 04/2012,6000.0,0.0,6000.0,4559.02
0110,310060,PAGAMENT PROVEÏDORS 04/2013,10000.0,0.0,10000.0,9830.14
0110,310070,PAGAMENT PROVEÏDORS 8/2013,7500.0,0.0,7500.0,7128.62
0110,310080,INTERESSOS PRÉSTEC INVERSIONS 2014,9000.0,0.0,9000.0,7818.69
0110,310090,INTRESSOS PRESTEC SUBSTITUCIO COBERTURA INTERESSOS,0.0,1000.0,1000.0,2174.61
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,1000.0,3000.0,4000.0,3500.5
0110,319000,ALTRES DESPESES FINANCERES,190000.0,-55000.0,135000.0,134905.35
0110,319100,INTERESSOS OPERACIÓ COBERTURA INTERESSOS,0.0,428865.0,428865.0,428865.0
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200.0,0.0,2200.0,2200.0
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000.0,0.0,10000.0,10000.0
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000.0,0.0,15000.0,15000.0
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000.0,0.0,15000.0,15000.0
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500.0,0.0,17500.0,17500.0
0110,911007,AJUT DE CAIXA DIPUTACIO DE BARCELONA 2014,17500.0,0.0,17500.0,17500.0
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000.0,0.0,45000.0,45000.0
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,416000.0,0.0,416000.0,325875.0
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,56000.0,0.0,56000.0,53726.09
0110,913018,INVERSIONS 2011 (bbva),40000.0,0.0,40000.0,40000.0
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,40000.0,0.0,40000.0,37962.74
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,56100.0,0.0,56100.0,56013.6
0110,913023,PRÉSTEC PAGAMENT PROVEÏDORS 04/2013,100300.0,0.0,100300.0,100291.64
0110,913024,PRÉSTEC PAGAMENT PROVEÏDORS 08/2013,82100.0,0.0,82100.0,82105.8
0110,913025,PRÉSTEC INVERSIONS 2014,47000.0,0.0,47000.0,37500.0
0110,913026,AMORTITZACIÓ PRESTEC OPERACIO COBERTURA INTERESSOS,0.0,0.0,0.0,0.0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,251318.0,0.0,251318.0,296841.63
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,627320.0,-10500.0,616820.0,590540.57
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLICIA LOCAL,28581.0,0.0,28581.0,5895.37
1300,212000,CONSERVACIÓ EDIFICIS POLICIA LOCAL,2000.0,4000.0,6000.0,6273.2
1300,214000,REPARACIONS VEHICLES POLICIA LOCAL,600.0,0.0,600.0,1093.0
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,500.0,0.0,500.0,0.0
1300,221000,ENERGIA ELECTRICA EDIFICIS POLICIA LOCAL,3600.0,0.0,3600.0,5424.29
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL,4800.0,-4000.0,800.0,389.29
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,15000.0,6600.0,21600.0,22074.53
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,5000.0,0.0,5000.0,2582.98
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,7000.0,7000.0,14000.0,14293.73
1340,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,12000.0,0.0,12000.0,12000.0
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,49646.0,0.0,49646.0,64938.58
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,100698.0,1300.0,101998.0,86688.06
1510,130000,RETRIBUCIONS PERSONAL FIXE URBANISME,59082.0,0.0,59082.0,59700.88
