#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,60000,-5000,55000,52135.68
0110,310015,INTERESSOS PRÉSTECS 2009 SANEJAMENT,2300,0,2300,1900.08
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,4200,0,4200,4219.38
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,8800,0,8800,7617.15
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,53600,0,53600,38151.07
0110,310030,PRESTEC INVERSIONS 2011 BBVA,8500,0,8500,7940.95
0110,310040,INVERSIONS 2011 C. PENEDES,10100,0,10100,8525.26
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS,24100,-22100,2000,1991
0110,310060,PAGAMENT PROVEÏDORS 04/2013,34000,-31200,2800,2785.7
0110,310070,PAGAMENT PROVEÏDORS 8/2013,22000,-22000,0,0
0110,310080,INTERESSOS PRÉSTEC INVERSIONS 2014,10800,0,10800,9857.4
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,6000,0,6000,1500
0110,319000,ALTRES DESPESES FINANCERES,125000,0,125000,150495.59
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200,0,2200,2200
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000,0,10000,10000
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000,0,15000,15000
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000,0,15000,15000
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500,0,17500,17500
0110,911007,AJUT DE CAIXA DIPUTACIO DE BARCELONA 2014,17500,-17500,0,0
0110,913014,AMORTITZACION PRESTEC ROMANENT TRESORERIA,68500,0,68500,68127.69
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000,0,45000,45000
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,416000,0,416000,415875
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,49500,0,49500,50651.48
0110,913018,INVERSIONS 2011 (bbva),40000,0,40000,40000
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,34600,0,34600,31882.26
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,56100,-56000,100,0
0110,913023,PRÉSTEC PAGAMENT PROVEÏDORS 04/2013,25100,-25000,100,0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,240000,51500,291500,350274.05
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,665000,57250,722250,682182.25
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLIC IA LOCAL,8000,-7500,500,500
1300,214000,MANTENIMENT I REPARACIÓ VEHICLES POLICIA LOCAL,1500,0,1500,1719.46
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,1000,-500,500,0
