#Eco.,Descripció,Previsions inicials,Previsions totals,Drets reconeguts nets,Recaptació líquida
11200,IBI (RÚSTEGA),205000,205000,17.16,-39.48
11300,IBI (URBANA),3500000,3500000,78796.37,528.7
11400,IMPOST SOBRE BÉNS IMMOBLES DE CARACTERÍSTIQUES ESPECIALS,50000,50000,0,0
11500,IMPOST VEHICLES DE TRACCIO MECANICA,590000,590000,566531.7,6706.78
11600,IMPOST INCREMENT VALORS TERRENYS URBANS,590000,590000,154471.56,122438.76
13000,ACTIVITATS EMPRESSARIALS,1100000,1100000,1745.71,62.98
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",185000,185000,21451.59,21447.27
30000,TAXA PER SUBMINISTRAMENT D'AIGUA POTABLE,425000,425000,90797.14,1231.73
30001,TAXA PER MANTENIMENTS DE COMPTADORS,130000,130000,39026.24,2447.93
30002,ESCOMESESD'AIGUA,8000,8000,1489.75,1489.75
30003,TAXA CLAVEGUERAM,100000,100000,21213.73,258.38
30004,CÀNON AIGUA,320000,320000,71810.54,807.51
30200,TAXA SERVEI RECOLLIDA ESCOMBRARIES,685000,685000,-75.1,-75.1
30900,TAXA SERVEI CEMENTIRI MUNICIPAL,36000,36000,5.2,5.2
30902,TAXA LLICENCIES OBERTURA ESTABLIMENTS,125000,125000,6522.25,6522.25
30912,TAXA PER ALTRES SERVEIS,1000,1000,0,0
31100,TAXA PER ACTIVITATS SERVEIS SOCIALS,1000,1000,0,0
31200,TAXA PER SERVEI ESCOLA DE MUSICA,60000,60000,17358.22,11164.76
31201,TAXA PER ESCOLA D'ADULTS,5000,5000,567.86,567.86
31300,TAXA PER CURSETS NATACIÓ,3000,3000,0,0
31301,TAXA SERVEI PISCINA,80000,80000,625.25,625.25
31302,TAXA PER ESCOLA ESPORTIVA,12000,12000,5822.73,4033.45
31303,TAXA PER INSTAL.LACIONS ESPORTIVES,100,100,70.5,70.5
31304,TAXA PER ACTIVITATS PAVELLÓ,16000,16000,6258.33,3646.62
31900,TAXA PER SERVEIS CULTURA,35000,35000,12043.15,9256.44
31901,TAXA SERVEI JOVENTUT,50000,50000,0,0
31902,TAXA UTILITZACIÓ EDIFICIS MUNICIPALS,2000,2000,204,204
31903,TAXA UTILITZACIÓ ESPAIS G2M,6000,6000,3626.01,626.01
32100,TAXA EXPEDICIÓ  LLICENCIES URBANISTIQUES,75000,75000,9305.18,9305.18
32500,TAXA EXPEDICIO DOCUM. ADMINISTRATIUS,6000,6000,927.69,927.69
32600,TAXA RETIRADA DE VEHICLES,15600,15600,1932.34,1932.34
32900,TAXA LLICENCIA TAXIS,1800,1800,0,0
32901,TAXA SERVEIS SALUT PÚBLICA,100,100,0,0
33100,TAXA GUALS I RESERVA VIA PUBLICA,140000,140000,221.19,221.19
33200,TAXA APROFITAMENTS  SUBMINISTRE ELÈCTRIC I GAS,170000,170000,43729.32,7348.35
33300,TAXA APROFITAMENTS SERVEIS TELECOMUNICACIONS,3000,3000,73.99,0
33500,TAXA OCUPACIÓ AMB TAULES I CADIRES,45000,45000,4023.39,1160.74
33600,TAXA OCUPACIÓ TERRENYS MATERIALS CONSTRUCCIÓ,6000,6000,5283.06,5283.06
33800,TAXA APROFITAMENTS SUBMINISTRE TELÈFON,35000,35000,0,0
33900,TAXA QUIOSCOS,600,600,0,0
33901,"TAXA OCUPACIÓ TERRENYS PARADES, ETC.",50000,50000,45.34,45.34
33902,TAXA MERCAT SETMANAL,45000,45000,9401.77,0
33903,INGRESSOS PER ACTIVITATS CIRCUIT CATALUNYA,125000,125000,0,0
33904,TAXA PER OCUPACIÓ ANTENES DE TELEFONIA,40000,40000,30512.64,30512.64
33905,TAXA PER OCUPACIÓ AMB CARTELLS I PALS PUBLICITARIS,40000,40000,24000,0
34000,INGRESSOS CASAL DE LA GENT GRAN,9000,9000,2780.21,2780.21
34200,DINAR EN COMPANYIA,37000,37000,11104.5,5299.8
34210,ÀPATS A DOMICILI,15000,15000,0,0
34300,ALTRES INGRESSOS D'ESPORTS,2000,2000,0,0
34900,ALTRES INGRESSOS CULTURA,25000,25000,89.97,89.97
34901,ALTRES INGRESSOS JOVENTUT,3000,3000,2850.3,2850.3
34902,ALTRES INGRESSOS ACTIVITATS CIRCUIT,100000,100000,0,0
34903,ALTRES INGRESSOS CULTURA (SALA POLIVALENT),6000,6000,6174,6174
35000,CONTRIBUCIONS ESPECIALS,0,0,0,0
38900,REINTEGRAMENTS DE PRESSUPOSTOS TANCATS,1000,1000,935.93,935.93
39100,SANCIONS URBANÍSTIQUES,10000,10000,0,0
39120,MULTES,255000,255000,152110.2,23343.42
39190,ALTRES SANCIONS,30000,30000,830.65,380.65
39211,RECARRECS CONSTRENYIMENT,65000,65000,15723.31,15578.73
39300,INTERESSOS DEMORA,25000,25000,4316.77,4274.91
39610,QUOTES URBANITZACIÓ,100,100,0,0
39800,INGRESSOS PER SINISTRES,10000,10000,11570.85,11570.85
39900,ALTRES INGRESSOS DIVERSOS,26950,26950,5798.36,5798.36
42000,PARTICIPACIO TRIBUTS ESTAT,2000000,2000000,330929.46,330929.46
42090,TRANSFERÈNCIES CORRENTS DE L'ESTAT,0,0,2263.64,2263.64
44000,TRANSFERÈNCIA AMTU,0,0,0,0
45000,APORTACIÓ FONS CATALÀ,125000,125000,0,0
45001,SUBVENCIÓ GENERALITAT JUTJAT DE PAU,4650,4650,0,0
45002,SUBVENCIÓ GENERALITAT. CENTRE DE DISCAPCITATS,250000,250000,0,0
45070,PUOSC 2019,50000,50000,0,0
45080,ALTRES SUBVENCIONS GENERALITAT,25000,25000,0,0
45081,SUBVENCIONS GENERALITAT. EDUCACIÓ,75000,75000,0,0
45090,CENTRE DE RECURSOS PEDAGÒGICS,26500,26500,0,0
46100,DE DIPUTACIÓ SERVEIS SOCIALS I SANITAT,70000,70000,30656.16,0
46101,DE DIPUTACIÓ ESPORTS,9000,9000,0,0
46102,DE DIPUTACIÓ CULTURA I JOVENTUT,25000,25000,0,0
46103,DE DIPUTACIÓ ENSENYAMENT,50000,50000,15516.89,0
46104,DE DIPUTACIÓ MEDI AMBIENT I TURISME,6000,6000,0,0
46105,ALTRES SUBVENCIONS DIPUTACIÓ,25000,25000,0,0
46106,DE DIPUTACIÓ OCUPACIÓ LOCAL,36000,36000,60475,36713.42
46107,DE DIPUTACIÓ. SALUT PÚBLICA,1000,1000,0,0
46108,SUBVENCIONS DIPUTACIÓ DINAMITZACIÓ COMERCIAL,16000,16000,0,0
46109,DE DIPUTACIÓ. pOLÍTIQUES D'IGUALTAT,12000,12000,0,0
46110,"DE DIPUTACIÓ, CONSUM",15000,15000,0,0
46200,CONVENI AJUNTAMENT DE MONTORNÉS CAN TACÓ,22000,22000,0,0
46202,RETORN RECOLLIDA CRVO,35500,35500,0,0
46500,DEL CONSELL COMARCAL SERVEIS SOCIALS,100000,100000,0,0
46501,DEL CONSELL COMARCAL BEQUES,46500,46500,0,0
46502,CONSELL COMARCAL SAD DEPENDÈNCIA,35000,35000,0,0
46503,DEL CONSELL COMARCAL. TURISME,100,100,0,0
46504,ALTRES TRANSFERÈNCIES CONSELL COMARCAL,1000,1000,746.31,746.31
46505,"DEL CONSELL COMARCAL,  CENTRE OBERT",25000,25000,0,0
46600,CÀNON RESIDUS. AGÈNCIA DE RESIDUS DE CATALUNYA,25000,25000,32067.99,4552
47000,TRANSFERENCIES D'EMPRESES PRIVADES,9000,9000,50,50
47001,APORTACIO CIRCUIT DE CATALUNYA,100,100,0,0
48000,TRANS.DE FAMÍLIES I INST. SENSE FI DE LUCRE,6000,6000,0,0
52000,INTERESES EN CUENTAS CORRIENTES,100,100,0,0
55000,LLOGUERS APARCAMENTS,600,600,145.2,145.2
55001,CONCESSIO POMPES FUNEBRES,1000,1000,0,0
55004,CONCESSIÓ ZONA ESPORTIVA SANT JORDI,100,100,4600,4600
55005,CONCESSIONS ADMINISTRATIVES,45000,45000,6050,1100
55500,APROFITAMENTS ESPECIALS,100,100,0,0
59900,ALTRES INGRESSOS PATRIMONIALS,72000,72000,0,0
61900,ALIENACIÓ DE TERRENYS,200,200,0,0
72000,DE L'ADMINISTRACIO GENERAL DE L'ESTAT,100,100,0,0
75080,TRANSFERÈNCIES GENERALITAT,75000,75000,0,0
75090,TRANSFERÈNCIES GENERALITAT,0,80000,0,0
76100,"DIPUTACIO, PROGRAMA COMPLEMENTARI INVERSIONS",31000,31000,0,0
76101,TRANSFERÈNCIES DIPUTACIÓ,122000,122000,0,0
76102,TRANSFERÈNCIA CONSORCI TORDERA BESÒS,75000,75000,0,0
76103,ALTRES TRANSFERÈNCIES DIPUTACIÓ,1000,1000,0,0
77000,TRANSFERÈNCIES D'EMPRESES PRIVADES,100,100,0,0
87010,ROMANENT PER A DESPESES AMB FINANÇAMENT AFECTAT,0,900313.82,0,0
91100,AJUTS DE CAIXA DIPUTACIÓ DE BARCELONA,100,100,0,0
91101,PRÉSTECS,100,100,0,0
91300,PRESTAMOS RECIBIDOS A CORTO PLAZO,0,0,0,0
91301,PRÉSTAM REBUTS A/L P D'ENS DE FORA DEL SECTOR PÚBLIC,0,0,0,0
91302,PRESTECS,0,0,0,0
#,,13288100,14268413.82,1927621.5,710941.24
