#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,73200,-7000,66200,62977.31
0110,310015,INTERESSOS PRÉSTECS 2009 SANEJAMENT,4500,0,4500,3810.92
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,5250,600,5850,5624.07
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,13800,-2000,11800,9386.89
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,65000,4000,69000,64399.37
0110,310030,PRESTEC INVERSIONS 2011 BBVA,10750,-600,10150,9823.01
0110,310035,INTERESSOS PRESTEC ICO 2011,6100,0,6100,6046.32
0110,310040,INVERSIONS 2011 C. PENEDES,12500,-1000,11500,11231.28
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS,27000,-2000,25000,24798.21
0110,310060,PAGAMENT PROVEÏDORS 04/2013,35000,0,35000,34172.79
0110,310070,PAGAMENT PROVEÏDORS 8/2013,30000,-6000,24000,23261.01
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,9000,11000,20000,19775.37
0110,319000,ALTRES DESPESES FINANCERES,125000,12000,137000,149501.26
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200,0,2200,2200
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000,0,10000,10000
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000,0,15000,15000
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000,0,15000,15000
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500,0,17500,17500
0110,913014,AMORTITZACION PRESTEC ROMANENT TRESORERIA,66500,0,66500,66248.87
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000,0,45000,45000
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,416000,0,416000,415875
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,48000,1000,49000,49067.01
0110,913018,INVERSIONS 2011 (bbva),40000,0,40000,40000
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,33500,0,33500,33162.33
0110,913021,PRESTEC ICO 2011,93500,0,93500,93020.41
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,28100,0,28100,28006.8
0110,913023,PRÉSTEC 2N PAGAMENT PROVEÏDORS 04/2013,0,0,0,0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,283800,-35500,248300,244464.86
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,822500,-89400,733100,534818.35
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLIC IA LOCAL,7900,-7500,400,1120.48
1300,214000,MANTENIMENT I REPARACIÓ VEHICLES POLICIA LOCAL,1500,0,1500,378.31
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,1000,0,1000,0
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL-PROTEC. CIVIL,7000,0,7000,5671.68
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,16000,0,16000,13861.69
1300,221120,MATERIAL TÈCNIC POLICIA LOCAL I PROTECCIÓ CIVIL,4000,-1500,2500,1487.04
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,5000,-3000,2000,906.75
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,9000,0,9000,6645.32
1300,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,12000,0,12000,12000
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,48000,8000,56000,49080.01
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,85000,0,85000,88753.91
1510,131000,RETRIBUCIONS LABORAL EVENTUAL URBANISME,73000,6000,79000,79915.36
1510,761000,TRANSFERÈNCIES CAPITAL,700,0,700,0
1610,221010,SUBMINISTRAMENT AIGÜES TER-LLOBREGAT,275000,0,275000,296257.69
1610,227990,SERVEI ANÀLISI DE CONTROL I LECTURES DE L'AIGUA,3500,9000,12500,8837.32
1610,227991,MANTENIMENT SERVEI DE CLAVEGUERAM,42000,0,42000,41855.4
1620,467000,SERVEI DEIXALLERIA,41000,0,41000,40477.9
1620,467001,SERVEI RECOLLIDA SELECTIVA,25000,0,25000,24368.96
1620,467002,SERVEI DE RECOLLIDA I TRACTAMENT MATÈRIA ORGÀNICA,28000,5000,33000,32723.82
