#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,d'obligacions reconegudes
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,60000.0,-5000.0,55000.0,0.0
0110,310015,INTERESSOS PRÉSTECS 2009 SANEJAMENT,2300.0,0.0,2300.0,0.0
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,4200.0,0.0,4200.0,0.0
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,8800.0,0.0,8800.0,0.0
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,53600.0,0.0,53600.0,0.0
0110,310030,PRESTEC INVERSIONS 2011 BBVA,8500.0,0.0,8500.0,0.0
0110,310040,INVERSIONS 2011 C. PENEDES,10100.0,0.0,10100.0,0.0
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS,24100.0,-22100.0,2000.0,0.0
0110,310060,PAGAMENT PROVEÏDORS 04/2013,34000.0,-31200.0,2800.0,0.0
0110,310070,PAGAMENT PROVEÏDORS 8/2013,22000.0,-22000.0,0.0,0.0
0110,310080,INTERESSOS PRÉSTEC INVERSIONS 2014,10800.0,0.0,10800.0,0.0
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,6000.0,0.0,6000.0,0.0
0110,319000,ALTRES DESPESES FINANCERES,125000.0,0.0,125000.0,0.0
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,2200.0,0.0,2200.0,0.0
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000.0,0.0,10000.0,0.0
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000.0,0.0,15000.0,0.0
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000.0,0.0,15000.0,0.0
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500.0,0.0,17500.0,0.0
0110,911007,AJUT DE CAIXA DIPUTACIO DE BARCELONA 2014,17500.0,-17500.0,0.0,0.0
0110,913014,AMORTITZACION PRESTEC ROMANENT TRESORERIA,68500.0,0.0,68500.0,0.0
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000.0,0.0,45000.0,0.0
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,416000.0,0.0,416000.0,0.0
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,49500.0,0.0,49500.0,0.0
0110,913018,INVERSIONS 2011 (bbva),40000.0,0.0,40000.0,0.0
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,34600.0,0.0,34600.0,0.0
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,56100.0,-56000.0,100.0,0.0
0110,913023,PRÉSTEC PAGAMENT PROVEÏDORS 04/2013,25100.0,-25000.0,100.0,0.0
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,240000.0,51500.0,291500.0,0.0
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,665000.0,57250.0,722250.0,0.0
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLIC IA LOCAL,8000.0,-7500.0,500.0,0.0
1300,214000,MANTENIMENT I REPARACIÓ VEHICLES POLICIA LOCAL,1500.0,0.0,1500.0,0.0
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,1000.0,-500.0,500.0,0.0
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL-PROTEC. CIVIL,6000.0,0.0,6000.0,0.0
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,15000.0,6100.0,21100.0,0.0
1300,221120,MATERIAL TÈCNIC POLICIA LOCAL I PROTECCIÓ CIVIL,6000.0,-1000.0,5000.0,0.0
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,5000.0,-1000.0,4000.0,0.0
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,9000.0,0.0,9000.0,0.0
1300,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,15000.0,0.0,15000.0,0.0
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,50000.0,-600.0,49400.0,0.0
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,92000.0,2200.0,94200.0,0.0
1510,131000,RETRIBUCIONS LABORAL EVENTUAL URBANISME,80000.0,51000.0,131000.0,0.0
