#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
0110,911002,AJUT CAIXA DIPUTACIÓ PAVIMENT PAVELLO,10000,0,10000,0
0110,310000,INTERESSOS OPERACIONS DE TRESORERIA,10000,0,10000,1201.84
0110,913018,INVERSIONS 2011 (bbva),40000,0,40000,10000
0110,310020,INTERESSOS OPERACIÓ DE REFINANÇAMENT,5700,0,5700,1304.21
0110,310019,INTERESSOS PRESTEC INVERSIONS 2010,2100,0,2100,447.32
0110,913016,AMORTITZACIÓ PRESTEC REFINANÇAMENT,164300,0,164300,41071.43
0110,913017,PRESTEC INVERSIONS 2010 C. PENEDES,56000,0,56000,13941.53
0110,311000,DESPESES FORMALITZAC.MODIFICACIÓ CANCELACIÓ,1000,0,1000,0
0110,911004,AJUT DE CAIXA DIPUTACIÓ - ENLLUMENAT - AUDITORI 2011,15000,0,15000,0
0110,911006,AMORTITZACIÓ AJUT DE CAIXA INVERSIONS 2013,17500,0,17500,0
0110,310080,INTERESSOS PRÉSTEC INVERSIONS 2014,6000,0,6000,2961.03
0110,911007,AJUT DE CAIXA DIPUTACIO DE BARCELONA 2014,17500,0,17500,0
0110,913023,PRÉSTEC PAGAMENT PROVEÏDORS 04/2013,100300,0,100300,25072.91
0110,319100,INTERESSOS,0,0,0,0
0110,913025,PRÉSTEC INVERSIONS 2014,37500,0,37500,18750
0110,310050,INTERESSOS PRESTEC PAGAMENTS PROVEÏDORS 04/2012,3600,0,3600,835.31
0110,913020,AMORTITZACIO PRESTEC CAIXA PENEDES,40800,0,40800,10084.01
0110,310017,INTERESSOS PRESTEC INVERSIONS 2009 BBVA,1000,0,1000,168.75
0110,319000,ALTRES DESPESES FINANCERES,12000,0,12000,1085.15
0110,911003,AJUT CAIXA DIPUTACIÓ. INVERSIONS AUDITORI 2010,15000,0,15000,0
0110,310030,PRESTEC INVERSIONS 2011 BBVA,4000,0,4000,833.51
0110,310040,INVERSIONS 2011 C. PENEDES,3600,0,3600,841.24
0110,310060,PAGAMENT PROVEÏDORS 04/2013,8000,0,8000,1890.06
0110,310070,PAGAMENT PROVEÏDORS 8/2013,5600,0,5600,1327.08
0110,913022,PRÉSTEC PAGAMENT PROVEÏDORS 4/2012,56100,0,56100,14003.4
0110,913024,PRÉSTEC PAGAMENT PROVEÏDORS 08/2013,82150,0,82150,20526.45
0110,913026,PRÉSTEC OPERACIÓ COBERTURA INTERESSOS,47600,0,47600,11912.92
0110,310090,INTRESSOS PRESTEC SUBSTITUCIO COBERTURA INTERESSOS,3800,0,3800,920.45
0110,913015,AMORTITZACIONS PRESTEC INVERSIONS 2009 BBVA,45000,0,45000,11250
0110,911001,AJUT CAIXA DIPUTACIÓ NINXOLS,0,0,0,0
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL,0,0,0,0
1300,221040,VESTUARI POLICIA LOCAL,13000,0,13000,12013.45
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,3000,0,3000,3645.7
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,14500,0,14500,8631.54
1300,120000,BASIQUES FUNCIONARIS POLICIA LOCAL,217160,0,217160,136649.29
1300,121000,COMPLEMENTARIES FUNCIONARIS POLICIA LOCAL,498902,0,498902,247454.54
1300,150000,INCENTIU PRODUCTIVITAT FUNCIONARIS POLICIA LOCAL,18277,0,18277,1961.36
1300,212000,CONSERVACIÓ EDIFICIS POLICIA LOCAL,3500,0,3500,1283.82
1300,221000,ENERGIA ELECTRICA EDIFICIS POLICIA LOCAL,8000,0,8000,4751.18
1300,227991,SEGURETAT VIAL,2000,0,2000,1271.71
1300,214000,MANTENIMENTS I REPARACIONS VEHICLES POLICIA LOCAL,600,0,600,1707.46
1300,216000,MANTENIMENT SISTEMA COMUNICACIONS POLICIA LOCAL,500,0,500,0
1340,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,12000,0,12000,12000
