#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IBI (RÚSTEGA),205000,0,205000,201929.64
11300,IBI (URBANA),3500000,0,3500000,3385133.85
11400,IMPOST SOBRE BÉNS IMMOBLES DE CARACTERÍSTIQUES ESPECIALS,50000,0,50000,49963.21
11500,IMPOST VEHICLES DE TRACCIO MECANICA,590000,0,590000,574473.26
11600,IMPOST INCREMENT VALORS TERRENYS URBANS,590000,0,590000,577253.09
13000,ACTIVITATS EMPRESSARIALS,1100000,0,1100000,1195155.49
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",185000,0,185000,47982.83
30000,TAXA PER SUBMINISTRAMENT D'AIGUA POTABLE,425000,0,425000,285601.79
30001,TAXA PER MANTENIMENTS DE COMPTADORS,130000,0,130000,117460.77
30002,ESCOMESESD'AIGUA,8000,0,8000,6504.66
30003,TAXA CLAVEGUERAM,100000,0,100000,65467.13
30004,CÀNON AIGUA,320000,0,320000,229505.6
30200,TAXA SERVEI RECOLLIDA ESCOMBRARIES,685000,0,685000,663791.26
30900,TAXA SERVEI CEMENTIRI MUNICIPAL,36000,0,36000,19635.29
30902,TAXA LLICENCIES OBERTURA ESTABLIMENTS,125000,0,125000,36549.94
30912,TAXA PER ALTRES SERVEIS,1000,0,1000,0
31100,TAXA PER ACTIVITATS SERVEIS SOCIALS,1000,0,1000,0
31200,TAXA PER SERVEI ESCOLA DE MUSICA,60000,0,60000,45542.39
31201,TAXA PER ESCOLA D'ADULTS,5000,0,5000,671.86
31300,TAXA PER CURSETS NATACIÓ,3000,0,3000,2438.8
31301,TAXA SERVEI PISCINA,80000,0,80000,78806.85
31302,TAXA PER ESCOLA ESPORTIVA,12000,0,12000,10586.24
31303,TAXA PER INSTAL.LACIONS ESPORTIVES,100,0,100,282
31304,TAXA PER ACTIVITATS PAVELLÓ,16000,0,16000,15418.95
31900,TAXA PER SERVEIS CULTURA,35000,0,35000,24755.24
31901,TAXA SERVEI JOVENTUT,50000,0,50000,43913.5
31902,TAXA UTILITZACIÓ EDIFICIS MUNICIPALS,2000,0,2000,496.93
31903,TAXA UTILITZACIÓ ESPAIS G2M,6000,0,6000,5934.32
32100,TAXA EXPEDICIÓ  LLICENCIES URBANISTIQUES,75000,0,75000,17396.58
32500,TAXA EXPEDICIO DOCUM. ADMINISTRATIUS,6000,0,6000,4286.52
32600,TAXA RETIRADA DE VEHICLES,15600,0,15600,9464.03
32900,TAXA LLICENCIA TAXIS,1800,0,1800,0
32901,TAXA SERVEIS SALUT PÚBLICA,100,0,100,0
33100,TAXA GUALS I RESERVA VIA PUBLICA,140000,0,140000,138919.02
33200,TAXA APROFITAMENTS  SUBMINISTRE ELÈCTRIC I GAS,170000,0,170000,140262.79
33300,TAXA APROFITAMENTS SERVEIS TELECOMUNICACIONS,3000,0,3000,161.35
33500,TAXA OCUPACIÓ AMB TAULES I CADIRES,45000,0,45000,35705.32
33600,TAXA OCUPACIÓ TERRENYS MATERIALS CONSTRUCCIÓ,6000,0,6000,9553.41
33800,TAXA APROFITAMENTS SUBMINISTRE TELÈFON,35000,0,35000,16150.33
33900,TAXA QUIOSCOS,600,0,600,290.94
33901,"TAXA OCUPACIÓ TERRENYS PARADES, ETC.",50000,0,50000,6781.3
33902,TAXA MERCAT SETMANAL,45000,0,45000,29486.59
33903,INGRESSOS PER ACTIVITATS CIRCUIT CATALUNYA,125000,0,125000,170822.85
33904,TAXA PER OCUPACIÓ ANTENES DE TELEFONIA,40000,0,40000,30369.69
33905,TAXA PER OCUPACIÓ AMB CARTELLS I PALS PUBLICITARIS,40000,0,40000,24000
34000,INGRESSOS CASAL DE LA GENT GRAN,9000,0,9000,7104.92
34200,DINAR EN COMPANYIA,37000,0,37000,29352.55
34210,ÀPATS A DOMICILI,15000,0,15000,0
34300,ALTRES INGRESSOS D'ESPORTS,2000,0,2000,0
34900,ALTRES INGRESSOS CULTURA,25000,0,25000,9779.34
34901,ALTRES INGRESSOS JOVENTUT,3000,0,3000,3871.8
34902,ALTRES INGRESSOS ACTIVITATS CIRCUIT,100000,0,100000,62439.32
34903,ALTRES INGRESSOS CULTURA (SALA POLIVALENT),6000,0,6000,7107
38900,REINTEGRAMENTS DE PRESSUPOSTOS TANCATS,1000,0,1000,935.93
39100,SANCIONS URBANÍSTIQUES,10000,0,10000,0
39120,MULTES,255000,0,255000,326167.93
39190,ALTRES SANCIONS,30000,0,30000,11850.86
39211,RECARRECS CONSTRENYIMENT,65000,0,65000,320163.78
39300,INTERESSOS DEMORA,25000,0,25000,40041.13
39610,QUOTES URBANITZACIÓ,100,0,100,0
39800,INGRESSOS PER SINISTRES,10000,0,10000,21561.64
39900,ALTRES INGRESSOS DIVERSOS,26950,0,26950,25416.39
42000,PARTICIPACIO TRIBUTS ESTAT,2000000,0,2000000,1323717.84
42090,TRANSFERÈNCIES CORRENTS DE L'ESTAT,0,0,0,2263.64
45000,APORTACIÓ FONS CATALÀ,125000,0,125000,123074.44
45001,SUBVENCIÓ GENERALITAT JUTJAT DE PAU,4650,0,4650,0
45002,SUBVENCIÓ GENERALITAT. CENTRE DE DISCAPCITATS,250000,0,250000,167220.62
45003,SUBVENCIONS GENERALITAT,0,10000,10000,0
45070,PUOSC 2019,50000,0,50000,285.13
45080,ALTRES SUBVENCIONS GENERALITAT,25000,0,25000,14374
45081,SUBVENCIONS GENERALITAT. EDUCACIÓ,75000,0,75000,26100
